Id;Place Name;Locationlat;lng;ViewportNortheastlat;lng;Southwestlat;lng;Icon;Open_now;day;Photo Height,Photo Width,Html_attributions,Photo_reference;Rating;Reference;Scope;type;Vicinity;Website;
c9fea75ee7c9659d8ec63d5987a3f8927dff3537;Chang;1.3022058;103.8112785;1.30246215;103.81151955;1.30212035;103.81119815;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;True;[];[1440,2560,[<a href="https://maps.google.com/maps/contrib/106807863992638784729/photos">Seung Wook YOON</a>,],CoQBdwAAAPOmjgou45y5AxlRV9oMhWqeBoWUSWna0eFYlWt3KTySV6u5BVhug4YUL2IuZLD_VJS1x9-dtA1vODymyoMBic7J27HOBQX4emnGn_DQRC6HeJxlWmc7IWsbJxal5DylVbP1WaM_ekzmpodc54myYs0jdX1q4uhBATY6dDX9P4r9EhDTT_5WplOMFcccftVyvM0TGhTGW59Qhw2bs6GnL7VD_qhC1dlqCw,];ChIJ1TIAJCMa2jERxEA9Zo_-TMs;4;CmRSAAAAxnkLD9BhXF6W69WbYpORy0T1opOtbZIQU8wJBjLqeetUPnBYY-js6J388-T7PgjBve2wLK5MtduAcaJ_273EEDqx1Qskp_4hyGhpixo_SgiCnQhxYkTn-KzdwXONkJX5EhD2q1mKrP4HC-5CcXpwqgAaGhQN_I6_-AtsYcI4E9YAQeY8u89q6A;GOOGLE;[restaurant,food,point_of_interest,establishment,];71 Loewen Road;;
4426b52149a7fe5464611424dd265659f98db2c3;The Pantry Social Enterprise Café;1.3027688;103.8121574;1.30290035;103.81224215;1.30237415;103.81190315;https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png;False;[];[2988,5312,[<a href="https://maps.google.com/maps/contrib/112917409687372842994/photos">Arev JR</a>,],CoQBdwAAAEhcDRbbSnZOrY3C2q854R_fX1Q33gdCZjAggUu96IMqyYIX_mBWWCPV9clHY-Us2pU4YKAKkFydP8kWrurjLAxbsKz1CZ-pLxwjnI8yDmyADowNRjdp20utgtu-Nj-qIKhLYUUxdXPVK_FVJnokHlCoyNJN_Oy3v0DCQFTY5F6zEhBAC8HUWj4zwVdQtSX7zdVMGhRERxPKRx6FbmPfmU1ZWUQ007rInw,];ChIJwU1AkSQa2jER-IUwbPxZMus;0;CmRSAAAAdT4eXawMl0-j9uPELGnHTD0o_Lb9KOTKIudHGDosEEZq5z9R-Suw3kCmnW-r5nJIL8y_vG36knas5cJ3plYFwL2ZbumoChbMyI9jKziin44ZfxJ6MW21qfx3g4D6nVXuEhC3AyuNjO7P2jJSIRGHer_BGhSHFBXo3B4bNn50WfRfJ7eFZvWXHw;GOOGLE;[cafe,food,point_of_interest,establishment,];75 Loewen Road;;
3a5274915d36c5166396ab75d73ff24aedb9ecde;ANJALICHOCOLAT;1.3016981;103.812089;1.30177255;103.8121444;1.30167155;103.8120692;https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;False;[];[3508,5472,[<a href="https://maps.google.com/maps/contrib/117310932722845217735/photos">Rohit Gupta</a>,],CoQBdwAAACyLf3Tl6h0aQaQQ5PqrWyG0rdX8WRdX0yebNJumztMISQhyvebIsEI93pF7Y4TikBZcW05C3C9SfX1oBBVWS7VYF1-O6EZnv3RRVLwi9wepIOoIiH_ubfuWlq2CHS1q09O7uA4XiEdZvjCX0W0ssEV6jx2kXzfOyA3a1G3pdEQ9EhCkTxuMjhIKeBS4mK_ItMRhGhRczaT_Ph1aep7prlcFaIbphvw5jg,];ChIJLV6E5SQa2jERUP3kUisPIpY;0;CmRSAAAAHd5NoplPOAJ0KMlRyObG5HL4CeAEhAjp9DzFJpLpgp6AkCmA-Tlk-0qVfpPjfFieigNBWtYXh24FTW3d8MB0MzRU3eN-nW5WiQ2Kuff5N_xPwpXoaSDsuKo73PEbMIjUEhDI3HDi_Sr3J7xBo6uzUPzUGhTbdmhHKADJbrMX_gT5srbVaj8xgQ;GOOGLE;[food,store,point_of_interest,establishment,];73 Loewen Road #01-15/16;;
520d6a8581ed11b7712fd5b5e8a2c3a901828b4f;cutQ;1.298837;103.81603;1.29894905;103.8175705;1.29850085;103.8155165;https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;False;[];[665,1165,[<a href="https://maps.google.com/maps/contrib/100733689746683670369/photos">cutQ</a>,],CoQBdwAAAJyHXq03jaoLhcK9qUUk1UqSQ7_k5X5qxO37lBDeM9b7V8XCF1780ZDXMv1vlspoDO7i18RVvOK8KXArdvZJ9VVFPCsqfo4WzsVSxksilcgIQeFFOxQMC5kSxu7u-meEfgaZW4jneuCuZN2im8CL2Vrm4-qFUR07qgaS-u7VSdcLEhAezQHLpKUJvRYrP5jNcqPMGhSR-V1p9B6QeOC2L2U_OSMFXuqjvA,];ChIJL2khASYa2jEROQgeiaPFJk8;0;CmRRAAAAILHCKApnZasNh10soDoCkFiJJHk9o-tVXteUm1C0Wgj58xMQxjPMnLQjEAN3lfdIqjplWhFdCPL7PPyDH_nkeUR7Oj74xttsJaTIHhN8KFVPkVilBIdRTe-WelxT-tbeEhDmieYNLCYaiNprLq38b_AaGhSru1tHXrmREojEvHTGkhDwofLyuQ;GOOGLE;[meal_takeaway,restaurant,food,point_of_interest,establishment,];316 Tanglin Road #02-01;;
48610ef8707d327a0324fb363ea8f7e709708e16;Spruce;1.298467;103.816559;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJ4ZnVpyga2jER8Uf1yAVjdl0;0;CmRRAAAAiqEIoDH-JOO_6N63R4X7lRUYqHBmYePv3DKnTynwFPqF3GTsyRK0eX6a7o3sWQWTOE1H6UIpl-8v_LZhGkEoTFer-DcxpJkLjOgC-QESBfLVBMfZVGkK-OrXKtPd4w_jEhDl-IxrozgswAmi9WwVQQrSGhRJGyp0hLyI-nyrLRksGbLJK5735Q;GOOGLE;[restaurant,food,point_of_interest,establishment,];320 Tanglin Rd;;
234c4b56ccfa5140e9f61d0f11c13546fd99e6c1;Coyote;1.298414;103.816551;1.29845465;103.81722525;1.29829205;103.81632625;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;True;[];[2688,4032,[<a href="https://maps.google.com/maps/contrib/101865622892317626875/photos">Coyote</a>,],CoQBdwAAAHdEx4GP4dGOwMTkgVobRJ6KYcgGliTAy47mfv69PVBK0W2_f6fBnyd-DefGF1A0C4EZwKIqj6ueSQfG8oOEJvKkAHDuB1S_9gNNmCyMvyC1PgSI3rNFiXhjLSf6VQVaoHzkryFXa91D7IrnzOkTKhnPxmP3e3_nD2AApB-A54KXEhCoIeSoCww-M5jZlx4iHqmHGhRXp6hkDby3uA5w9vU7Du0tOURhKg,];ChIJWytWAiYa2jERG5VFLQALdP0;3,5;CmRSAAAAyhtEeNZN6k-VLyeuqlx8NhdJU_hRhZk-HWAuAHTnF1Len2K6a1vJILX0XHJp7WxBcW_Bgy7FaFH-CxKLR1tRFMgnK52ZST0Dgy2tSkpHYbEop9eGw3dmj3vyehmQDqW5EhBzjwY07b4giMmMftgKz4LAGhQBnHFryJqg7_DHWM9A-djq105Nmg;GOOGLE;[restaurant,food,point_of_interest,establishment,];320 Tanglin Road;;
7878ca343ac38ddd2d05c1bba6ebcd1e023be4a8;Java Enterprises;1.3000701;103.8197993;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;;[];[];ChIJexb5uyca2jER6F1RISozSkQ;0;CmRRAAAAd8amSUHGpUjfW3JRGjVpn-Jp6Jt1W4m_0gFZMKrBsUYjuz_bV2lGTbgDmYOoEef5-S8yLlv66_4nyTVBQfUuLoOexOQzLH4aYuDcpP7OOjdU_9v2eGeAewMkUcObNbfaEhDsbjNRTT7Use9rkeUXVC1DGhTzNqRVII-CmFbPcRSK7Ol87hOg0g;GOOGLE;[grocery_or_supermarket,food,store,point_of_interest,establishment,];16A Chatsworth Rd;;
ebab5a29a24a2f2b6a3144ca37e96dac75cf6a77;PTC-Nakajima Suisan (Asia) Holland;1.3025925;103.8204254;1.30274145;103.82044635;1.30254285;103.82036255;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJu72YSCca2jERI2MQa5wBkag;0;CmRSAAAAeysttL0DkE0Rw_3B_9W9MdzKzqnVY5_IDVnSIPTDpYvPHA1kQzTXfYJPgPl__3bbDPp7nW_bu_-4trWHzXUIt2CrueskzY-CyLDjqy3qYyOalIX1nPP-yFv7FONsRJzPEhCidDV4p0rYu1SwWrvKtYdmGhSATaO0MAFe-JokgT7UuZ1zmp6E_g;GOOGLE;[restaurant,food,point_of_interest,establishment,];293B Tanglin Road;;
0253d3b20acf3656ce86d4e72ca2c929b1b1e665;Fat Cow;1.3030623;103.8239631;1.30322965;103.82439375;1.30256025;103.82381955;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;True;[];[2988,5312,[<a href="https://maps.google.com/maps/contrib/103463016604774132392/photos">Anthony Leung</a>,],CoQBdwAAAETG8Y4ewIXpIS0VhoVytQqL9VA5M6NceB5-sb7gXxVzzyufS7_Lt2bh9w7ezl5ukM-GEXk2WGVIggNpsRzqMxPsFBN84EnScsH2J58m6uGdpjRGtf820sqGUxh3dByWLCWWIph4EMKOb3GMH7glmbMM7Fkq_cS6UrrwCYRrC22tEhCD03aT4ytgxydo3hg3cj4LGhQgk6yp2xWhlR4E6yYQxqNTyBGEVg,];ChIJbSEigYkZ2jERXX_RecpRRJI;4,2;CmRSAAAAI5vNoumMai3kySm3Ff1vsuqSWg9bH4E226zym4hdxb89rS0FEvvzWSo7N0A2q7XDs5S3doY_6fSS-A0TVBTH4921RavpEouSwrkOM4Jz1eI-y45ey8X1rxoe1VVKDjprEhB4JvBnMYNeqZrsVhitwitTGhQSxPqnVD04sSvNcrcHIQt_GSJegg;GOOGLE;[bar,restaurant,food,point_of_interest,establishment,];Camden Medical Centre #01-01, 1 Orchard Boulevard;;
ad5e5c5a6763d7f3a050a92ab7b94edddeafa923;Red Mango;1.30256;103.82445;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;;[];[];ChIJCW1snYkZ2jERAisdF1apPuc;0;CmRSAAAA4z_zXmXkY6_xoczEsVKhCESMkoMNoFi4qablcZXl_UBC3YV9ZlCHDW7mtfDBZ-yKMXumeQU2QNFRwHI08k5oHlIeqSXeH-PmVj4tPz5p2S_bFjR2ShdGnV_WES358_UDEhCrrYcIj9Tz_U2mTGD5bCrdGhSNbmX9b8wk7WD7fOByygG1DuzmBQ;GOOGLE;[food,store,point_of_interest,establishment,];2 Orchard Link, Singapore;;
450ad84ef650187f4d4c953e39b663b022740b11;Xin Wang Taiwan Street Food;1.30256;103.82445;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJCW1snYkZ2jERdHjeb38Uj2s;0;CmRRAAAAPW5s_lMOCZdnFrqmFfNoQ4hQxLv1GcNQsTUnC4Pn8jYuWsEse2zwXvVBN9qmgy8lmHBZPZQE8m6F4mVb3hXwMWa_Z9_oFOc0_OXQMnmYgNxgPe1dA7ySVxP7jt0fulVSEhBYyaO7MCDN0WVFG5n9l35GGhQHAVLSKXY1WFmcAVkhpp0LWsJRqg;GOOGLE;[restaurant,food,point_of_interest,establishment,];2 Orchard Link, Singapore;;
0d397cc1d04e85eab45f639885dd8d0697a13d5d;Whitebait & Kale Pte Ltd;1.3031601;103.8237124;1.3032796;103.8238213;1.3028016;103.8233857;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJByBqiIkZ2jERgGhtL_SDMG8;0;CmRRAAAAp62w31IpSq4fZTIiHeYnFIUFm0k6KlzbvCuQiH8UKIpqwRqenZbwi7F-r73Lplo9l9jDAdt9hBWRjh9OprWX-R7XPi6hTvaXsvSEU_yYvR_0JsaO7DfWl8xYg90qYaeCEhCrAN4YU6PZessp6u6mOxWvGhQ6M5yGSZJ8pDWc4Fkva5mmtyT8qQ;GOOGLE;[restaurant,food,point_of_interest,establishment,];1 Orchard Boulevard;;
fc2148e271ab00a4092ff722fc5c3f4d440fed63;Long John Silver's (On the Go);1.302562;103.824451;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJCW1snYkZ2jERkhDhtBb5hiQ;0;CmRRAAAA6v3579VW-UxwcvCtkKzxtwOHPXZa-k9wCkSH7r8CcqkAg4uHPbf25Cy8JCv8mAaVY9ROkx70ZNiMVFfVeBe0WrrcidFnreiT_HUZ6EtGWONI3HORFdQHe8YJ7x0e3WV9EhApOQxn7rUDEcyJ3OFEkdOqGhSvBCE2-6VC1wt-f-VCbMoPHFEbXA;GOOGLE;[restaurant,food,point_of_interest,establishment,];2 Orchard Link, Singapore;;
01abb50ac34ed327259dcbe99af101630e9bc1ab;Cheers;1.30256;103.82445;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;;[];[];ChIJCW1snYkZ2jERGSjLkbFhTBw;0;CmRRAAAAXdQC8exEgauZZa2-KdnR4tG4-krzPq-x3SxD2XZa4S3E00i7F5JxBqPaYmZZTS9SGHwpu-YTk-BJlkJ3eGF1cmTE8nT02mYnPwH3ATF1wsUCzYpMAj5Kc_o3S7yEDbCdEhB30QZ2OhHe45TyPOGUox_mGhRw7OUJ24vdfO1bV-CCSioFN3DgoQ;GOOGLE;[convenience_store,food,store,point_of_interest,establishment,];2 Orchard Link, Singapore;;
b4a78d91bc7eb6e6d9ccc0d200f205d68a8bbbe6;The Cocoa Trees - 290 Orchard Road;1.302559;103.824451;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;;[];[];ChIJvxRsnYkZ2jERfWs27Q4PNyE;0;CmRRAAAAj8AVLB-vFxhkt9ChwFg1QNsuzmG3Uj2U0ZrdXu__1Gfj4wWUNmot7ROQ3zYzLgyaxWRhCmhbLpBWtT09qNJQY3qFFLbdCvR3_d6cd-Q4gmlSkbsvLvdtQyFM6PXvM7eNEhBZco9ZE51pxf_hgqdxnQz3GhRjfQlN-BbulSHmugPb5Dg6M7DhLQ;GOOGLE;[grocery_or_supermarket,food,store,point_of_interest,establishment,];L'escape Beaute, 290 Orchard Rd;;
47bec33a93e9fa4d792c99089440ae8352f8a6e9;The Looking Glass Bistro;1.3030298;103.8237525;1.30309725;103.82380175;1.30282745;103.82360475;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[1536,2048,[<a href="https://maps.google.com/maps/contrib/114457626465323361622/photos">Julian Chow</a>,],CoQBdwAAAB9VSWcFtVqqD6QIBu0DIRaSxhJ64VDUCSXQYLTMKv165HViLoFprr7Bwa28KB-ctBQGMuqXI5rVoEIOUfHUwamK5Hyp0fq-Jy_S7hQAN5gXcHQ-84nyRBFDWi1XlAOZdXJRg8h-tfi_3i01KKQkeqSZW-rts4GEv-hwfM18MWtwEhB1RE8QIAf9nL2EwhsLEyMmGhRhJ_-Y3NCv5TR1PLbKKWRwRKDa2g,];ChIJ3b59h4kZ2jERWOruuzRM37Y;0;CmRSAAAAjPNf_URSKyzH_39OsvVRf-NFAb8Dcyn4U7Q4dqaUiwx4cXPMJ2T8PjXbo8MPPxM0e0Tbffs4H82Hv_5mQi_RFo2xy-CkvwSXH_OfdQnN85kMLBVQs0NVU0XxEgoOuBhvEhDhsJ42B3S0D7m01PXsC3XmGhQ4CRy3i-PRn3tqlI-4iLM2lZKsdw;GOOGLE;[restaurant,food,point_of_interest,establishment,];1 Orchard Boulevard;;
bf0879a2cee50bb2614c88cda9ac19254d5e604a;Ybn Bioedge (S'pore) Pte. Ltd.;1.3030839;103.8236698;1.30317025;103.8237522;1.30282485;103.8234226;https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;;[];[];ChIJ5Rw7hokZ2jER-Siqjwo6zMk;0;CmRSAAAANOCmcnQ5iweVXYW3v9MaRWbhxr0zNtuRN_s54_quukhrtZq6N53vVXMq8XigcqTmmjLNNSlrAZrTJnZh3X81Q5-vuMnatvGd1IfQ-U_DOq23MAP4LAJtKa4j1GqULpc-EhDW_D8AQihBpHMqJcZfCnGhGhSe0AeWLvCgflx4KN-o9SRiLwp9NA;GOOGLE;[food,point_of_interest,establishment,];1 Orchard Boulevard, Singapore;;
96b9947eee1c0a8375b4842693c32e31b47d2fb1;The Nutrition Clinic;1.3031601;103.8237124;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;;[];[];ChIJZ2NqiIkZ2jERTlSViYv6XmM;0;CmRRAAAAnNuD8lg2L7gLVR-2uM_K3xKAPtpYfwdtgCgeJFUoRezlEXUQ0B4mafr5OublJZcB0q0Gc4ifovVxy9U1VlYdUU4SIA9gWVk8_LNfNm2IWYkZkXHC--6m6kVRligzIQD6EhB4javz5iGtEPBigHRWP1hiGhQCxukz2lnOHWg6BYqF4J2lnnFFwg;GOOGLE;[health,food,store,point_of_interest,establishment,];1 Orchard Blvd;;
992d24aa60223d69e99d8980fb9b4c500734463a;Ice Rockz;1.30256;103.82445;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png;;[];[];ChIJCW1snYkZ2jER8cyNzEzxZyA;0;CmRRAAAAJMhg0nQa5cADlMTxusInTjLJhi60gHsv4cmxNi37LJKzqhBpf_PrT8aVqPxFWh1wBdSWiN1-rIU7UY6xQa2tsOfQJDJHSBoT9rYkYaey77ziaobsHvqeFKObgPzn95PnEhAZPHMJrEeDGvI4ltosKz96GhTWsTeqKnYmLj7wCcdgVKQeqSI4IA;GOOGLE;[cafe,food,point_of_interest,establishment,];2 Orchard Link, Singapore;;
171b9beaf3bd300db036aeeaab0444a4767388ac;Cake My Day;1.3008665;103.8254655;1.30090885;103.82550485;1.30081665;103.82541905;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJr1Z64ogZ2jERLaQfA-Wd8vA;0;CmRSAAAAEHxhODvhsnzQ2S9dxiqAGoxIxFRAB4D2VvQns8p_i4kAu6frm6QpXRLWQCwdCKJOimx3oHvYm2JA39GOM19wfX-2L1kV3aX9_0Qe1skekVmvRBqrjjrJjjBN-SFKaSFjEhAxCsg7WJ3t-giix3-sVJSBGhRq_Qf5upUVTmq7udRnbN166d_ygA;GOOGLE;[bakery,food,store,point_of_interest,establishment,];61A Jalan Arnap;;
0526389d39ce7b7e671a5f91bb1a400e512546b4;Belgarath Investments Pte. Ltd.;1.3011544;103.8256251;1.30134925;103.8256685;1.30108945;103.8254949;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJMfCoHokZ2jERAIObbW0gY9I;0;CmRSAAAAoy1zR46zBgxd4RFZ_rgrzWQukmTJLzoRbz3ASLSNIkCLa20tzVSX2x5LrIP9dp5zsXMNmCnjX0KYq2zLschR_SRNbGRh164aCAoei8PABfcrWZLwo_bSmbUYrXN4srW7EhBxJFHxwAfYC6TiRzDtmRP-GhRWpNDZAdDHviazPx8XjIrE9BlqBA;GOOGLE;[restaurant,food,point_of_interest,establishment,];12 One Tree Hill;;
595744a1bbf37c795259744be4cc4bed941d8f1d;Stans Isaacs Pte Ltd;1.303248;103.823826;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;;[];[];ChIJVTwCKIoZ2jER3HP3E9ZdYCw;0;CmRRAAAA2srFM9MbILUYqECyg1caOmoFiJ-hbcvlJQddfEjDuDMPJFQtwXPXv5xOM3IoSR1MyNsJq8d4pSyGtoOznVr6UXsCvTbxW69tieIhPsQZ94LrTEYd4R9-JS04WBGG-JThEhB2HaVTX2_ue9UTTT3Zku_wGhQruc0BItFYlZ0v-jqL1si4cTm6nA;GOOGLE;[food,store,point_of_interest,establishment,];One Orchard Boulevard, #13-08, Camden Medical Centre, 248649;;
e68d01fbe9f1a2effdcea873bc72817c2d47298d;Killiney Kopitiam - Singapore Tourism Board;1.3034814;103.8240609;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png;;[];[];ChIJedc4KYoZ2jERURDakBsTMb4;0;CmRSAAAA0rkL4Wgt8xJ0SrxqJXYjitIn0L2Czjj223bTjcEI4y_JeR1Wxn7emDz_iZV-xL2wiT6p6tt18oBeuwh4IAnBgdHTvjAJzPDL2bjxRW5mVyJxHqHndWQq5C7LNmm6g_pvEhAbF-wZrQIhr9Qip-6tWRr_GhR0LsIFCNsv2pKbTTL1UGtGchD6oQ;GOOGLE;[cafe,food,store,point_of_interest,establishment,];1 Orchard Spring Land, Tourism Court, 247729;;
ed98d77120c914cd35b06662bcf1073354426c03;Mesi Impex;1.302652;103.826027;1.30288405;103.82667425;1.30257465;103.82581125;https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;;[];[];ChIJERBNXYkZ2jERX0k0w0q-8ro;0;CmRSAAAATuw61SS4kSJPbRn1HRvmqNenES7G_Dzw2x9P99XwPbNaBV64Ted4C8i4DsgYkAWw4ahv83LrG7X278ZnyoBnE79nhgsPdLIND_kqojOQl_W7f0D2wOfw0D05NcfoHJoXEhCCl4cdCpah3Ua0LP9aNyl0GhSKV7Nhl3fSSzLaufB9f7APwPAW0A;GOOGLE;[electronics_store,food,store,point_of_interest,establishment,];Tomlinson Road;;
